Number of Layers,Number of Oxygen Atoms,Surface Energy
3,17,-0.8947342943495095
4,23,-1.1992466017991117
5,29,-1.5169812522308357
6,35,-1.8895277812239673
7,41,-2.2216190354017926
8,47,-2.52544844020025
9,53,-2.8849362435171555
10,59,-3.216631302961686
